split,model,missingness,ADE,FDE,n,stop,go,turn_left,turn_right,action,action_accuracy,stop_precision,stop_recall,true_stop,pred_stop,plot
zara2,vanilla_lstm,contiguous,0.5437388734466534,0.9886857266958595,5910,11,5025,874,0,go,0.8763113367174281,0.6363636363636364,0.21875,32,11,
zara2,vanilla_lstm,partial,1.2889359001379126,2.0506382704991375,5910,0,5017,893,0,go,0.8676818950930626,0.0,0.0,32,0,
zara2,missing_lstm,complete,0.32674823106848044,0.7217315963883892,5910,33,5599,276,2,go,0.9720812182741116,0.48484848484848486,0.5,32,33,
zara2,missing_lstm,random_0.1,0.3371005944491643,0.7339882132970742,5910,34,5606,268,2,go,0.9712351945854484,0.47058823529411764,0.5,32,34,
zara2,missing_lstm,random_0.3,0.3690273903045557,0.7713093420575718,5910,31,5604,274,1,go,0.9707275803722504,0.5161290322580645,0.5,32,31,
zara2,missing_lstm,random_0.5,0.45975433111997627,0.8718805019423844,5910,36,5612,259,3,go,0.9678510998307953,0.4166666666666667,0.46875,32,36,
zara2,missing_lstm,contiguous,0.32674823106848044,0.7217315963883892,5910,33,5599,276,2,go,0.9720812182741116,0.48484848484848486,0.5,32,33,
zara2,missing_lstm,partial,0.46809046690032363,0.8908137910055428,5910,31,5602,274,3,go,0.9671742808798647,0.45161290322580644,0.4375,32,31,
zara2,missing_transformer,complete,0.3117589658387825,0.6934946885568841,5910,32,5587,289,2,go,0.9683587140439932,0.5,0.5,32,32,
zara2,missing_transformer,random_0.1,0.3215329422563466,0.7039455706899743,5910,32,5589,287,2,go,0.9686971235194586,0.5,0.5,32,32,
zara2,missing_transformer,random_0.3,0.3519807390049226,0.7366513441056769,5910,33,5599,277,1,go,0.9688663282571912,0.48484848484848486,0.5,32,33,
zara2,missing_transformer,random_0.5,0.4126380654559321,0.8022835315383227,5910,30,5615,264,1,go,0.9686971235194586,0.5,0.46875,32,30,
zara2,missing_transformer,contiguous,0.3117589658387825,0.6934946885568841,5910,32,5587,289,2,go,0.9683587140439932,0.5,0.5,32,32,
zara2,missing_transformer,partial,0.4442483740207911,0.8239900362874852,5910,28,5614,264,4,go,0.9676818950930626,0.5,0.4375,32,28,
eth,constant_velocity,complete,1.0754581519535609,2.2818901041051842,364,8,288,57,11,go,0.8928571428571429,0.875,0.5833333333333334,12,8,
eth,constant_velocity,random_0.1,1.0724805632790366,2.25138887992272,364,8,288,57,11,go,0.8983516483516484,0.875,0.5833333333333334,12,8,
eth,constant_velocity,random_0.3,1.1405021541721219,2.264053363066453,364,6,290,60,8,go,0.9010989010989011,0.8333333333333334,0.4166666666666667,12,6,
eth,constant_velocity,random_0.5,1.2964301122413886,2.3921933750529867,364,8,293,56,7,go,0.9093406593406593,1.0,0.6666666666666666,12,8,
eth,constant_velocity,contiguous,1.0754581519535609,2.2818901041051842,364,8,288,57,11,go,0.8928571428571429,0.875,0.5833333333333334,12,8,
eth,constant_velocity,partial,1.4419698924808713,2.383114298621377,364,9,296,54,5,go,0.8846153846153846,0.7777777777777778,0.5833333333333334,12,9,
eth,vanilla_lstm,complete,1.7326433200102587,2.4935277634924584,364,6,319,39,0,go,0.9065934065934066,1.0,0.5,12,6,
eth,vanilla_lstm,random_0.1,1.7710965858710992,2.52428614962232,364,6,318,40,0,go,0.9038461538461539,1.0,0.5,12,6,
eth,vanilla_lstm,random_0.3,1.938376967723553,2.7164541338826274,364,5,321,38,0,go,0.9010989010989011,1.0,0.4166666666666667,12,5,
eth,vanilla_lstm,random_0.5,2.2666521779783477,3.1324894637851926,364,7,315,42,0,go,0.8901098901098901,0.5714285714285714,0.3333333333333333,12,7,
eth,vanilla_lstm,contiguous,1.7326433200102587,2.4935277634924584,364,6,319,39,0,go,0.9065934065934066,1.0,0.5,12,6,
eth,vanilla_lstm,partial,2.7247650046924967,3.697681180723421,364,2,309,53,0,go,0.8653846153846154,0.0,0.0,12,2,
eth,missing_lstm,complete,1.0375922610471537,2.178258619465671,364,6,294,55,9,go,0.8983516483516484,0.8333333333333334,0.4166666666666667,12,6,
eth,missing_lstm,random_0.1,1.0534330161063226,2.1790069407159156,364,6,295,55,8,go,0.8983516483516484,1.0,0.5,12,6,
